"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"17.05.2021","10.41","10.22","10.50","10.16","16.69M","2.97%"
"14.05.2021","10.11","10.00","10.36","9.88","39.09M","1.30%"
"13.05.2021","9.98","9.62","9.98","9.56","24.99M","4.50%"
"12.05.2021","9.55","9.60","9.99","9.44","37.81M","0.21%"
"11.05.2021","9.53","9.54","9.68","9.38","21.06M","-2.66%"
"10.05.2021","9.79","9.95","10.00","9.65","27.46M","-0.51%"
"07.05.2021","9.84","9.53","10.04","9.36","45.71M","6.96%"
"06.05.2021","9.20","9.03","9.21","8.85","18.17M","2.79%"
"05.05.2021","8.95","8.85","9.07","8.88","10.93M","1.59%"
"04.05.2021","8.81","8.68","8.88","8.67","15.31M","2.09%"
"03.05.2021","8.63","8.70","8.71","8.53","11.56M","0.23%"
"30.04.2021","8.61","8.77","8.90","8.55","14.80M","-2.60%"
"29.04.2021","8.84","8.80","8.90","8.65","23.12M","2.79%"
"28.04.2021","8.60","8.45","8.72","8.45","22.05M","2.26%"
"27.04.2021","8.41","8.24","8.46","8.19","17.52M","2.81%"
"26.04.2021","8.18","8.18","8.25","8.16","11.30M","-0.12%"
"23.04.2021","8.19","8.08","8.19","8.01","14.20M","1.61%"
"22.04.2021","8.06","8.10","8.24","8.04","18.80M","1.00%"
"21.04.2021","7.98","7.87","8.00","7.75","9.92M","0.63%"
"20.04.2021","7.93","7.99","7.99","7.77","14.01M","-1.37%"
"19.04.2021","8.04","7.88","8.06","7.81","14.15M","2.16%"
"16.04.2021","7.87","8.05","8.07","7.87","13.09M","-2.36%"
"15.04.2021","8.06","8.01","8.06","7.96","8.94M","0.50%"
"14.04.2021","8.02","8.03","8.07","7.98","18.70M","0.25%"
"13.04.2021","8.00","8.03","8.06","7.93","13.40M","-0.87%"
"12.04.2021","8.07","8.09","8.16","8.00","13.60M","0.37%"
"09.04.2021","8.04","7.88","8.25","7.86","32.02M","2.03%"
"08.04.2021","7.88","7.71","7.88","7.66","12.35M","1.03%"
"07.04.2021","7.80","7.80","7.82","7.66","11.25M","-0.13%"
"06.04.2021","7.81","7.79","7.85","7.72","9.68M","-0.13%"
"05.04.2021","7.82","7.84","7.84","7.64","16.24M","-0.38%"
"01.04.2021","7.85","7.71","7.85","7.62","12.48M","2.21%"
"31.03.2021","7.68","7.71","7.84","7.65","18.14M","-1.03%"
"30.03.2021","7.76","7.70","7.80","7.63","9.56M","-0.77%"
"29.03.2021","7.82","7.86","7.90","7.63","13.58M","-1.39%"
"26.03.2021","7.93","7.88","7.95","7.70","15.92M","2.19%"
"25.03.2021","7.76","7.52","7.79","7.37","19.55M","1.70%"
"24.03.2021","7.63","7.86","7.92","7.58","25.00M","-1.17%"
"23.03.2021","7.72","8.00","8.04","7.59","26.77M","-4.69%"
"22.03.2021","8.10","7.99","8.16","7.92","18.66M","1.50%"
"19.03.2021","7.98","7.85","8.10","7.78","28.38M","2.70%"
"18.03.2021","7.77","8.12","8.15","7.77","34.88M","-4.55%"
"17.03.2021","8.14","8.08","8.28","8.05","17.29M","0.62%"
"16.03.2021","8.09","8.30","8.30","8.03","22.20M","-2.65%"
"15.03.2021","8.31","8.50","8.53","8.27","16.33M","-2.00%"
"14.03.2021","8.48","8.48","8.48","8.48","-","0.00%"
"12.03.2021","8.48","8.32","8.48","8.26","11.89M","1.44%"
"11.03.2021","8.36","8.60","8.70","8.35","18.08M","-2.56%"
"10.03.2021","8.58","8.14","8.61","8.10","29.40M","6.58%"
"09.03.2021","8.05","8.03","8.20","7.95","17.99M","-0.62%"
"08.03.2021","8.10","8.12","8.33","8.00","20.00M","-0.61%"
"05.03.2021","8.15","8.22","8.24","7.65","31.11M","1.37%"
"04.03.2021","8.04","7.95","8.27","7.85","26.05M","2.16%"
"03.03.2021","7.87","8.05","8.11","7.86","17.52M","-1.38%"
"02.03.2021","7.98","8.03","8.15","7.97","14.83M","-1.72%"
"01.03.2021","8.12","7.95","8.14","7.83","25.24M","6.28%"
"28.02.2021","7.64","7.64","7.64","7.64","-","0.00%"
"26.02.2021","7.64","7.94","8.08","7.62","31.29M","-5.21%"
"25.02.2021","8.06","8.27","8.39","7.82","31.93M","-0.74%"
"24.02.2021","8.12","7.74","8.27","7.72","48.88M","5.18%"
"23.02.2021","7.72","7.56","7.72","7.12","33.33M","3.35%"
"22.02.2021","7.47","7.02","7.66","7.02","43.98M","6.71%"
"19.02.2021","7.00","6.84","7.02","6.82","26.02M","3.24%"
"18.02.2021","6.78","6.72","6.94","6.66","21.09M","-1.60%"
"17.02.2021","6.89","7.10","7.11","6.85","31.04M","-1.01%"
"16.02.2021","6.96","6.95","7.00","6.86","22.05M","2.05%"
"12.02.2021","6.82","6.78","6.93","6.74","14.10M","0.59%"
"11.02.2021","6.78","6.82","6.93","6.73","22.16M","-0.73%"
"10.02.2021","6.83","6.83","6.84","6.62","16.02M","0.74%"
"09.02.2021","6.78","7.00","7.00","6.78","20.21M","-3.97%"
"08.02.2021","7.06","6.83","7.06","6.76","28.22M","5.06%"
"05.02.2021","6.72","6.70","6.78","6.64","14.90M","-0.44%"
"04.02.2021","6.75","6.70","6.80","6.63","21.47M","1.20%"
"03.02.2021","6.67","6.59","6.67","6.52","16.62M","2.14%"
"02.02.2021","6.53","6.50","6.66","6.46","20.00M","2.67%"
"01.02.2021","6.36","6.34","6.39","6.26","17.88M","1.44%"
"29.01.2021","6.27","6.43","6.54","6.24","22.57M","-2.18%"
"28.01.2021","6.41","6.45","6.51","6.32","25.32M","-0.93%"
"27.01.2021","6.47","6.54","6.60","6.42","27.05M","-2.27%"
"26.01.2021","6.62","6.62","7.04","6.58","40.46M","0.76%"
"25.01.2021","6.57","6.55","6.62","6.42","18.53M","1.08%"
"24.01.2021","6.50","6.50","6.50","6.50","-","0.00%"
"22.01.2021","6.50","6.57","6.58","6.46","25.54M","-1.81%"
"21.01.2021","6.62","6.82","6.87","6.58","25.69M","-3.07%"
"20.01.2021","6.83","6.93","7.04","6.82","23.29M","-0.29%"
"19.01.2021","6.85","7.02","7.04","6.80","27.61M","-2.28%"
"15.01.2021","7.01","7.12","7.14","6.87","18.69M","-1.68%"
"14.01.2021","7.13","7.25","7.27","7.09","20.73M","-1.52%"
"13.01.2021","7.24","7.17","7.25","7.06","19.25M","1.40%"
"12.01.2021","7.14","6.97","7.22","6.92","28.09M","4.54%"
"11.01.2021","6.83","6.64","6.86","6.60","17.73M","1.49%"
"10.01.2021","6.73","6.73","6.73","6.73","-","0.00%"
"09.01.2021","6.73","6.73","6.73","6.73","-","0.00%"
"08.01.2021","6.73","6.73","6.78","6.58","21.61M","1.20%"
"07.01.2021","6.65","6.62","6.75","6.55","15.39M","0.45%"
