"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"17.05.2021","12.15","11.82","12.18","11.80","52.20M","2.62%"
"14.05.2021","11.84","11.65","11.87","11.62","48.62M","2.51%"
"13.05.2021","11.55","11.35","11.67","11.35","56.60M","1.94%"
"12.05.2021","11.33","11.57","11.67","11.28","55.66M","-2.16%"
"11.05.2021","11.58","11.46","11.76","11.43","56.88M","-1.11%"
"10.05.2021","11.71","11.78","11.93","11.70","51.70M","-0.93%"
"07.05.2021","11.82","11.65","11.83","11.52","41.53M","0.68%"
"06.05.2021","11.74","11.56","11.75","11.48","50.03M","1.12%"
"05.05.2021","11.61","11.50","11.64","11.50","41.38M","1.75%"
"04.05.2021","11.41","11.53","11.55","11.23","71.01M","-1.89%"
"03.05.2021","11.63","11.56","11.68","11.43","61.99M","0.78%"
"30.04.2021","11.54","11.36","11.54","11.33","90.79M","2.49%"
"29.04.2021","11.26","11.86","11.89","11.14","230.43M","-9.41%"
"28.04.2021","12.43","12.59","12.59","12.39","68.02M","-0.48%"
"27.04.2021","12.49","12.29","12.50","12.28","42.04M","1.79%"
"26.04.2021","12.27","12.28","12.44","12.23","40.86M","0.41%"
"23.04.2021","12.22","11.97","12.24","11.87","51.90M","2.35%"
"22.04.2021","11.94","12.02","12.14","11.83","73.06M","1.79%"
"21.04.2021","11.73","11.31","11.74","11.20","49.64M","2.45%"
"20.04.2021","11.45","12.06","12.06","11.35","83.17M","-5.45%"
"19.04.2021","12.11","12.22","12.25","12.02","39.06M","-0.98%"
"16.04.2021","12.23","12.32","12.36","12.19","33.13M","-0.08%"
"15.04.2021","12.24","12.29","12.31","12.13","38.21M","0.00%"
"14.04.2021","12.24","12.21","12.49","12.21","49.88M","0.33%"
"13.04.2021","12.20","12.42","12.44","12.10","51.56M","-1.45%"
"12.04.2021","12.38","12.49","12.54","12.33","40.42M","-1.04%"
"09.04.2021","12.51","12.49","12.62","12.39","40.56M","0.00%"
"08.04.2021","12.51","12.67","12.76","12.43","52.62M","-1.73%"
"07.04.2021","12.73","12.89","12.92","12.66","42.26M","-1.47%"
"06.04.2021","12.92","12.71","12.98","12.65","67.50M","1.73%"
"05.04.2021","12.70","12.37","12.78","12.33","82.33M","4.35%"
"01.04.2021","12.17","12.28","12.29","12.02","61.91M","-0.65%"
"31.03.2021","12.25","12.46","12.52","12.21","60.46M","-1.69%"
"30.03.2021","12.46","12.16","12.48","12.11","47.00M","2.55%"
"29.03.2021","12.15","12.19","12.36","12.07","44.75M","-1.22%"
"26.03.2021","12.30","12.43","12.49","12.06","49.24M","-0.16%"
"25.03.2021","12.32","11.97","12.35","11.75","54.20M","1.48%"
"24.03.2021","12.14","12.37","12.52","12.13","54.53M","-0.57%"
"23.03.2021","12.21","12.54","12.67","12.12","73.02M","-4.98%"
"22.03.2021","12.85","12.85","12.93","12.51","79.34M","0.16%"
"19.03.2021","12.83","12.85","12.95","12.55","90.89M","2.72%"
"18.03.2021","12.49","12.74","12.99","12.44","76.73M","-1.58%"
"17.03.2021","12.69","12.37","12.69","12.24","109.32M","1.60%"
"16.03.2021","12.49","13.06","13.14","12.44","125.43M","-5.38%"
"15.03.2021","13.20","13.39","13.62","13.06","65.23M","-1.27%"
"12.03.2021","13.37","12.81","13.43","12.77","87.16M","4.37%"
"11.03.2021","12.81","12.91","13.05","12.75","56.54M","-0.77%"
"10.03.2021","12.91","12.72","12.98","12.62","62.11M","2.70%"
"09.03.2021","12.57","12.75","12.75","12.39","61.57M","-0.63%"
"08.03.2021","12.65","12.39","12.88","12.31","86.13M","3.10%"
"05.03.2021","12.27","12.06","12.29","11.67","79.35M","2.85%"
"04.03.2021","11.93","12.23","12.46","11.64","88.34M","-1.97%"
"03.03.2021","12.17","12.58","12.59","12.14","80.17M","-3.03%"
"02.03.2021","12.55","12.04","12.79","11.95","104.79M","4.76%"
"01.03.2021","11.98","11.86","12.08","11.78","43.17M","2.39%"
"26.02.2021","11.70","11.89","11.98","11.54","69.62M","-0.51%"
"25.02.2021","11.76","12.22","12.40","11.72","75.25M","-4.16%"
"24.02.2021","12.27","11.67","12.40","11.64","95.15M","5.59%"
"23.02.2021","11.62","11.60","11.64","11.14","72.90M","-0.68%"
"22.02.2021","11.70","11.52","11.94","11.50","62.18M","1.04%"
"19.02.2021","11.58","11.52","11.59","11.46","48.62M","1.31%"
"18.02.2021","11.43","11.39","11.48","11.30","37.78M","-0.44%"
"17.02.2021","11.48","11.61","11.61","11.37","49.45M","-0.52%"
"16.02.2021","11.54","11.50","11.70","11.38","47.98M","0.79%"
"12.02.2021","11.45","11.42","11.62","11.37","44.40M","0.00%"
"11.02.2021","11.45","11.66","11.74","11.31","55.54M","-2.64%"
"10.02.2021","11.76","12.00","12.02","11.53","75.56M","-1.42%"
"09.02.2021","11.93","11.54","12.04","11.49","101.54M","3.20%"
"08.02.2021","11.56","11.52","11.58","11.31","75.05M","0.43%"
"05.02.2021","11.51","11.80","11.90","11.30","113.40M","1.23%"
"04.02.2021","11.37","11.40","11.61","11.17","106.85M","1.52%"
"03.02.2021","11.20","10.90","11.35","10.84","82.97M","3.13%"
"02.02.2021","10.86","11.15","11.18","10.71","80.44M","0.28%"
"01.02.2021","10.83","10.63","11.44","10.36","157.11M","2.85%"
"29.01.2021","10.53","10.59","10.84","10.45","73.93M","-1.77%"
"28.01.2021","10.72","10.83","11.05","10.72","77.39M","-0.65%"
"27.01.2021","10.79","10.97","11.16","10.71","82.86M","-3.57%"
"26.01.2021","11.19","11.29","11.53","11.13","66.27M","-0.89%"
"25.01.2021","11.29","11.52","11.52","10.89","118.95M","-2.00%"
"22.01.2021","11.52","11.66","11.69","11.34","130.87M","-0.09%"
"21.01.2021","11.53","11.28","12.15","11.12","282.76M","6.17%"
"20.01.2021","10.86","10.23","10.87","10.19","125.03M","8.38%"
"19.01.2021","10.02","10.06","10.20","9.97","78.73M","1.93%"
"15.01.2021","9.83","10.04","10.05","9.82","99.99M","-3.34%"
"14.01.2021","10.17","9.79","10.20","9.79","112.70M","3.99%"
"13.01.2021","9.78","9.90","9.90","9.65","89.55M","0.00%"
"12.01.2021","9.78","9.33","9.81","9.30","124.81M","5.16%"
"11.01.2021","9.30","8.86","9.31","8.83","96.13M","3.33%"
"08.01.2021","9.00","9.10","9.14","8.89","59.16M","-0.66%"
"07.01.2021","9.06","8.94","9.07","8.88","77.12M","2.49%"
"06.01.2021","8.84","8.80","8.94","8.69","72.59M","2.20%"
"05.01.2021","8.65","8.47","8.72","8.47","70.13M","1.53%"
"04.01.2021","8.52","8.82","8.84","8.43","85.04M","-3.07%"
