"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"15.05.2020","4.90","4.79","4.94","4.76","80.54M","0.20%"
"14.05.2020","4.89","4.62","4.92","4.53","108.06M","3.60%"
"13.05.2020","4.72","5.00","5.00","4.66","100.19M","-5.22%"
"12.05.2020","4.98","5.15","5.22","4.97","70.97M","-2.73%"
"11.05.2020","5.12","5.18","5.19","5.05","75.73M","-2.29%"
"08.05.2020","5.24","4.96","5.25","4.95","101.33M","7.60%"
"07.05.2020","4.87","4.90","4.98","4.85","67.22M","0.00%"
"06.05.2020","4.87","5.05","5.09","4.82","89.39M","-2.01%"
"05.05.2020","4.97","4.99","5.09","4.94","96.30M","2.26%"
"04.05.2020","4.86","4.88","4.97","4.77","84.21M","-1.22%"
"01.05.2020","4.92","5.02","5.05","4.90","82.66M","-3.34%"
"30.04.2020","5.09","5.16","5.24","5.06","93.44M","-3.23%"
"29.04.2020","5.26","5.33","5.50","5.21","126.39M","-2.23%"
"28.04.2020","5.38","5.49","5.54","5.22","106.22M","4.06%"
"27.04.2020","5.17","4.91","5.19","4.88","91.08M","6.16%"
"24.04.2020","4.87","4.93","4.96","4.80","54.35M","-0.41%"
"23.04.2020","4.89","4.80","4.98","4.77","61.96M","2.52%"
"22.04.2020","4.77","4.87","4.89","4.75","62.40M","0.00%"
"21.04.2020","4.77","4.89","4.92","4.72","82.40M","-4.22%"
"20.04.2020","4.98","5.01","5.09","4.91","71.08M","-2.73%"
"17.04.2020","5.12","5.17","5.28","5.03","91.99M","3.64%"
"16.04.2020","4.94","5.06","5.07","4.89","58.95M","-1.79%"
"15.04.2020","5.03","5.06","5.14","4.95","74.73M","-4.91%"
"14.04.2020","5.29","5.27","5.44","5.16","74.88M","2.52%"
"13.04.2020","5.16","5.43","5.43","5.02","99.32M","-3.91%"
"09.04.2020","5.37","5.51","5.75","5.24","175.83M","6.76%"
"08.04.2020","5.03","4.86","5.09","4.80","117.02M","6.79%"
"07.04.2020","4.71","4.85","5.03","4.63","115.15M","3.97%"
"06.04.2020","4.53","4.54","4.67","4.41","102.21M","6.84%"
"03.04.2020","4.24","4.40","4.42","4.17","85.66M","-2.75%"
"02.04.2020","4.36","4.39","4.57","4.25","90.89M","-0.91%"
"01.04.2020","4.40","4.63","4.77","4.36","119.17M","-8.90%"
