"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"17.05.2021","29.83","29.90","29.92","29.63","48.77K","-0.96%"
"14.05.2021","30.12","29.58","30.19","29.58","162.95K","2.66%"
"13.05.2021","29.34","29.86","29.97","29.07","244.88K","-1.68%"
"12.05.2021","29.84","30.38","30.53","29.75","431.02K","-3.49%"
"11.05.2021","30.92","30.24","31.00","30.17","781.68K","-0.35%"
"10.05.2021","31.03","31.68","31.72","31.01","281.06K","-2.42%"
"07.05.2021","31.80","31.67","31.98","31.60","66.70K","1.44%"
"06.05.2021","31.35","31.25","31.44","31.03","122.73K","-0.73%"
"05.05.2021","31.58","31.70","31.88","31.41","167.88K","0.99%"
"04.05.2021","31.27","32.00","32.00","31.06","145.12K","-2.71%"
"03.05.2021","32.14","32.45","32.45","32.14","100.05K","-0.83%"
"30.04.2021","32.41","32.72","32.72","32.30","79.57K","-1.19%"
"29.04.2021","32.80","33.15","33.15","32.61","137.04K","-0.46%"
"28.04.2021","32.95","33.09","33.16","32.81","86.58K","-0.42%"
"27.04.2021","33.09","33.44","33.44","33.06","104.31K","-0.63%"
"26.04.2021","33.30","32.92","33.33","32.91","137.25K","0.27%"
"23.04.2021","33.21","33.12","33.25","33.00","95.19K","1.56%"
"22.04.2021","32.70","32.74","33.00","32.64","227.80K","0.12%"
"21.04.2021","32.66","32.16","32.66","32.16","442.81K","0.55%"
"20.04.2021","32.48","32.73","32.73","32.36","173.18K","-1.81%"
"19.04.2021","33.08","33.37","33.45","32.91","201.63K","-0.72%"
"16.04.2021","33.32","33.47","33.49","33.20","115.40K","-0.15%"
"15.04.2021","33.37","33.41","33.45","33.18","123.15K","0.94%"
"14.04.2021","33.06","33.33","33.42","33.04","132.08K","-0.30%"
"13.04.2021","33.16","32.88","33.21","32.78","122.43K","1.38%"
"12.04.2021","32.71","32.50","32.71","32.31","195.80K","-0.30%"
"09.04.2021","32.81","32.83","32.87","32.60","91.08K","-0.18%"
"08.04.2021","32.87","32.85","32.97","32.79","224.40K","1.42%"
"07.04.2021","32.41","32.44","32.53","32.17","538.45K","-0.52%"
"06.04.2021","32.58","32.50","32.70","32.38","70.22K","0.28%"
"05.04.2021","32.49","32.62","32.68","32.17","119.36K","1.15%"
"01.04.2021","32.12","32.00","32.28","31.92","116.38K","2.23%"
"31.03.2021","31.42","31.16","31.63","31.16","84.87K","1.29%"
"30.03.2021","31.02","30.91","31.10","30.62","46.64K","0.10%"
"29.03.2021","30.99","31.00","31.14","30.80","85.57K","-0.39%"
"26.03.2021","31.11","30.90","31.14","30.64","91.51K","1.60%"
"25.03.2021","30.62","30.29","30.65","30.14","205.47K","0.16%"
"24.03.2021","30.57","31.45","31.45","30.54","305.63K","-2.95%"
"23.03.2021","31.50","31.66","31.75","31.40","76.56K","-0.69%"
"22.03.2021","31.72","31.58","31.94","31.53","198.77K","0.60%"
"19.03.2021","31.53","31.21","31.56","31.05","328.01K","1.94%"
"18.03.2021","30.93","31.37","31.40","30.83","1.73M","-2.58%"
"17.03.2021","31.75","31.72","31.89","31.20","946.72K","-1.12%"
"16.03.2021","32.11","32.15","32.44","31.93","854.80K","1.58%"
"15.03.2021","31.61","31.70","31.70","31.39","1.36M","-0.28%"
"12.03.2021","31.70","31.62","31.70","31.21","227.91K","-0.13%"
"11.03.2021","31.74","31.63","31.82","31.47","1.23M","3.09%"
"10.03.2021","30.79","31.85","31.85","30.67","1.32M","-2.62%"
