"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"17.05.2021","17.78","17.56","17.80","17.56","17.19M","1.25%"
"16.05.2021","17.56","17.56","17.56","17.56","-","0.00%"
"15.05.2021","17.56","17.56","17.56","17.56","-","0.00%"
"14.05.2021","17.56","17.50","17.57","17.48","15.14M","0.80%"
"13.05.2021","17.42","17.32","17.42","17.32","19.11M","0.46%"
"12.05.2021","17.34","17.43","17.47","17.33","28.77M","-1.03%"
"11.05.2021","17.52","17.34","17.52","17.32","22.21M","0.00%"
"10.05.2021","17.52","17.57","17.58","17.47","19.70M","0.40%"
"07.05.2021","17.45","17.44","17.55","17.39","22.82M","0.87%"
"06.05.2021","17.30","17.08","17.32","17.08","24.35M","1.65%"
"05.05.2021","17.02","16.95","17.02","16.97","10.79M","0.47%"
"04.05.2021","16.94","17.06","17.14","16.86","25.38M","-0.76%"
"03.05.2021","17.07","17.05","17.13","17.03","21.61M","1.31%"
"30.04.2021","16.85","16.87","16.88","16.81","18.52M","-0.30%"
"29.04.2021","16.90","16.84","16.91","16.72","19.81M","-0.41%"
"28.04.2021","16.97","16.86","16.98","16.83","19.52M","0.30%"
"27.04.2021","16.92","16.98","17.00","16.91","14.20M","-0.29%"
"26.04.2021","16.97","16.95","16.97","16.88","14.43M","0.35%"
"23.04.2021","16.91","17.02","17.03","16.86","17.89M","-0.53%"
"22.04.2021","17.00","16.99","17.03","16.93","17.43M","-0.58%"
"21.04.2021","17.10","17.00","17.12","17.00","35.65M","1.00%"
"20.04.2021","16.93","16.85","16.96","16.85","25.52M","0.36%"
"19.04.2021","16.87","16.91","16.92","16.85","19.37M","-0.24%"
"18.04.2021","16.91","16.91","16.91","16.91","-","0.00%"
